t,vx,vy,clickProb,intentClass,confidence
0,0.12,-0.08,0.05,pointer,0.88
50,0.15,-0.05,0.06,pointer,0.87
100,0.18,0.02,0.08,pointer,0.86
150,0.10,0.12,0.20,click,0.91
200,0.05,0.15,0.04,pointer,0.85
250,-0.08,0.10,0.03,navigation,0.82
300,-0.12,0.04,0.02,pointer,0.84
350,-0.05,-0.10,0.05,select,0.80
400,0.02,-0.14,0.01,pointer,0.83
450,0.20,-0.02,0.30,click,0.92
500,0.08,0.08,0.02,type,0.78
550,0.00,0.00,0.00,inner_speech,0.60
600,0.01,0.00,0.00,private_thought,0.55
650,0.14,0.06,0.05,pointer,0.86
700,0.16,0.04,0.07,pointer,0.87
750,0.11,-0.09,0.12,click,0.89
800,-0.20,0.15,0.04,pointer,0.81
850,-0.18,0.20,0.03,navigation,0.79
900,0.05,0.05,0.01,system,0.70
950,0.09,-0.03,0.06,pointer,0.88
